ranking_scope,rank,island,cand,phase,seed,gen,base_cand,origin_op,C9,C9_mode,interest_raw,interest_v2,common_I025,common_I040,qualifies_025,qualifies_040,descriptor_bin,ghash,final_archive_path,film_archive_member,filename_declared_in_row
island1:baseline_g1_7:C9,1,1,p1g1_009_s3,seed3,959,1,p1g1_009,mutate,0.8504,partial,77.20673455395642,74.5956460719419,77.20673455395642,78.77338764316514,True,True,4|grow|rotor|liquid|s1|g2|structured,6c1a68ff3495c5bc,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g1_009_s3.npz,p1g1_009_s3.npz
island1:baseline_g1_7:C9,2,1,p1g3_005_s3,seed3,959,3,p1g3_005,mutate,0.7859,partial,73.54656893657145,71.86542524876194,73.54656893657145,74.55525514925716,True,True,3|switch|rotor|flicker|s1|g1|structured,86801acb1b8c160d,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g3_005_s3.npz,p1g3_005_s3.npz
island1:baseline_g1_7:C9,3,1,p1g4_069_s3,seed3,959,4,p1g4_069,merge_slow_tanh,0.7791,partial,71.11713241397678,68.85284321863571,71.11713241397678,72.47570593118144,True,True,3|switch|mobile|liquid|s1|g2|structured,b5bd74556f52443f,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g4_069_s3.npz,p1g4_069_s3.npz
island1:baseline_g1_7:C9,4,1,p1g6_009_s2,seed2,958,6,p1g6_009,mutate,0.7502,partial,72.15161723210426,71.19548964280568,72.15161723210426,72.7252937856834,True,True,3|switch|mobile|liquid|s1|g2|structured,91813fbd275fbaaa,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g6_009_s2.npz,p1g6_009_s2.npz
island1:baseline_g1_7:C9,5,1,p1g2_051_s3,seed3,959,2,p1g2_051,merge_spatial_ic,0.6631,partial,82.10924074455039,87.37565432606719,82.10924074455039,78.94939259564032,True,True,4|grow|mobile|liquid|s3|g2|structured,9a815b4bb1db78ea,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_051_s3.npz,p1g2_051_s3.npz
island1:baseline_g1_7:common_I025,1,1,p1g2_049_s3,seed3,959,2,p1g2_049,merge_spatial_ic,0.6347,partial,82.3327196684081,88.6202928912108,82.3327196684081,78.56017573472647,True,True,4|grow|mobile|liquid|s3|g2|structured,fa86cb8089d048d0,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_049_s3.npz,p1g2_049_s3.npz
island1:baseline_g1_7:common_I025,2,1,p1g7_052_s3,seed3,959,7,p1g7_052,merge_spatial_ic,0.6347,partial,82.3327196684081,88.6202928912108,82.3327196684081,78.56017573472647,True,True,4|grow|mobile|liquid|s3|g2|structured,fa86cb8089d048d0,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g7_052_s3.npz,p1g7_052_s3.npz
island1:baseline_g1_7:common_I025,3,1,p1g2_051_s3,seed3,959,2,p1g2_051,merge_spatial_ic,0.6631,partial,82.10924074455039,87.37565432606719,82.10924074455039,78.94939259564032,True,True,4|grow|mobile|liquid|s3|g2|structured,9a815b4bb1db78ea,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_051_s3.npz,p1g2_051_s3.npz
island1:baseline_g1_7:common_I025,4,1,p1g2_052_s3,seed3,959,2,p1g2_052,merge_spatial_ic,0.6631,partial,82.10924074455039,87.37565432606719,82.10924074455039,78.94939259564032,True,True,4|grow|mobile|liquid|s3|g2|structured,9a815b4bb1db78ea,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_052_s3.npz,p1g2_052_s3.npz
island1:baseline_g1_7:common_I025,5,1,p1g4_050_s3,seed3,959,4,p1g4_050,merge_spatial_ic,0.6487,partial,81.79157794143298,87.43210392191064,81.79157794143298,78.40726235314638,True,True,4|grow|mobile|liquid|s3|g2|structured,9a815b4bb1db78ea,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g4_050_s3.npz,p1g4_050_s3.npz
island1:baseline_g1_7:common_I040,1,1,p1g2_051_s3,seed3,959,2,p1g2_051,merge_spatial_ic,0.6631,partial,82.10924074455039,87.37565432606719,82.10924074455039,78.94939259564032,True,True,4|grow|mobile|liquid|s3|g2|structured,9a815b4bb1db78ea,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_051_s3.npz,p1g2_051_s3.npz
island1:baseline_g1_7:common_I040,2,1,p1g2_052_s3,seed3,959,2,p1g2_052,merge_spatial_ic,0.6631,partial,82.10924074455039,87.37565432606719,82.10924074455039,78.94939259564032,True,True,4|grow|mobile|liquid|s3|g2|structured,9a815b4bb1db78ea,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_052_s3.npz,p1g2_052_s3.npz
island1:baseline_g1_7:common_I040,3,1,p1g1_009_s3,seed3,959,1,p1g1_009,mutate,0.8504,partial,77.20673455395642,74.5956460719419,77.20673455395642,78.77338764316514,True,True,4|grow|rotor|liquid|s1|g2|structured,6c1a68ff3495c5bc,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g1_009_s3.npz,p1g1_009_s3.npz
island1:baseline_g1_7:common_I040,4,1,p1g2_049_s3,seed3,959,2,p1g2_049,merge_spatial_ic,0.6347,partial,82.3327196684081,88.6202928912108,82.3327196684081,78.56017573472647,True,True,4|grow|mobile|liquid|s3|g2|structured,fa86cb8089d048d0,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g2_049_s3.npz,p1g2_049_s3.npz
island1:baseline_g1_7:common_I040,5,1,p1g7_052_s3,seed3,959,7,p1g7_052,merge_spatial_ic,0.6347,partial,82.3327196684081,88.6202928912108,82.3327196684081,78.56017573472647,True,True,4|grow|mobile|liquid|s3|g2|structured,fa86cb8089d048d0,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g7_052_s3.npz,p1g7_052_s3.npz
island1:continuation_g8_12:C9,1,1,p1g12_049_s3,seed3,959,12,p1g12_049,add_chan,0.8895,partial,82.6504598758784,78.45076645979732,81.07557484484799,82.6504598758784,True,True,4|grow|rotor|liquid|s1|g2|structured,ade485a3c34506e6,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g12_049_s3.npz,p1g12_049_s3.npz
island1:continuation_g8_12:C9,2,1,p1g12_007_s3,seed3,959,12,p1g12_007,mutate,0.8867,partial,79.71012062938584,73.73686771564307,77.4701507867323,79.71012062938584,True,True,3|switch|rotor|flicker|s1|g2|structured,f76814c5c3c3bbe2,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g12_007_s3.npz,p1g12_007_s3.npz
island1:continuation_g8_12:C9,3,1,p1g12_049_s2,seed2,958,12,p1g12_049,add_chan,0.8854,partial,84.24539192398363,81.38231987330606,83.17173990497955,84.24539192398363,True,True,4|grow|rotor|liquid|s1|g2|structured,ade485a3c34506e6,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g12_049_s2.npz,p1g12_049_s2.npz
island1:continuation_g8_12:C9,4,1,p1g12_037_s2,seed2,958,12,p1g12_037,mint_bilin,0.8195,partial,81.00909559985232,80.38182599975386,80.77386949981539,81.00909559985232,True,True,4|grow|rotor|liquid|s1|g2|structured,f28ff34704c181dd,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g12_037_s2.npz,p1g12_037_s2.npz
island1:continuation_g8_12:C9,5,1,p1g9_013_s3,seed3,959,9,p1g9_013,mutate,0.7086,partial,76.7840965481866,80.73349424697767,78.26512068523326,76.7840965481866,True,True,3|switch|rotor|liquid|s2|g2|structured,32e73d69fe198380,/Users/spoho/v3work/isl1_final2.tgz,isl1/out/runs/p1g9_013_s3.npz,p1g9_013_s3.npz
